ANNO;AteneoCOD;AteneoNOME;AteneoREGIONE;AteneoAREAGEO;CorsoTIPO;COD_FoET2013;DESC_FoET2013;Genere;DOTTORI
2024;01509;Milano-Bicocca - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;3;Social sciences, journalism and information;M;17
2024;01509;Milano-Bicocca - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;7;Engineering, manufacturing and construction;F;2
2024;01510;Rozzano (MI) - Humanitas University;Lombardia;NORD-OVEST;Dottorato di ricerca;6;Information and Communication Technologies (ICTs);F;1
2024;01510;Rozzano (MI) - Humanitas University;Lombardia;NORD-OVEST;Dottorato di ricerca;9;Health and welfare;F;9
2024;01510;Rozzano (MI) - Humanitas University;Lombardia;NORD-OVEST;Dottorato di ricerca;5;Natural sciences, mathematics and statistics;M;4
2024;01510;Rozzano (MI) - Humanitas University;Lombardia;NORD-OVEST;Dottorato di ricerca;7;Engineering, manufacturing and construction;M;1
2024;01510;Rozzano (MI) - Humanitas University;Lombardia;NORD-OVEST;Dottorato di ricerca;5;Natural sciences, mathematics and statistics;F;2
2024;01510;Rozzano (MI) - Humanitas University;Lombardia;NORD-OVEST;Dottorato di ricerca;9;Health and welfare;M;6
2024;01601;Bergamo - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;4;Business, administration and law;F;4
2024;01601;Bergamo - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;5;Natural sciences, mathematics and statistics;F;1
2024;01601;Bergamo - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;2;Arts and humanities;M;4
2024;01601;Bergamo - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;7;Engineering, manufacturing and construction;M;11
2024;01601;Bergamo - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;1;Education;F;1
2024;01601;Bergamo - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;7;Engineering, manufacturing and construction;F;4
2024;01601;Bergamo - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;4;Business, administration and law;M;3
2024;01601;Bergamo - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;2;Arts and humanities;F;9
2024;01701;Brescia - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;9;Health and welfare;F;9
2024;01701;Brescia - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;7;Engineering, manufacturing and construction;F;15
2024;01701;Brescia - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;4;Business, administration and law;F;4
2024;01701;Brescia - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;5;Natural sciences, mathematics and statistics;F;12
2024;01701;Brescia - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;9;Health and welfare;M;6
2024;01701;Brescia - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;7;Engineering, manufacturing and construction;M;18
2024;01701;Brescia - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;10;Services;M;1
2024;01701;Brescia - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;5;Natural sciences, mathematics and statistics;M;9
2024;01701;Brescia - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;4;Business, administration and law;M;4
2024;01801;Pavia - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;5;Natural sciences, mathematics and statistics;M;52
2024;01801;Pavia - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;9;Health and welfare;M;8
